brachiation,climb,climbSpeed,descent,energyExpenditure,feedingBudget,restingBudget,seed,sway,totalEnergyIntake,travelDistance,travellingBudget,walk
44.44444444444444,16.666666666666664,1.6,33.33333333333333,619.9680000005756,0.3194444444444445,99.56018518518519,-785631129,5.555555555555555,765.0,48.29477723585481,0.12037037037037038,0.0
50.0,20.0,1.6,30.0,622.0580000005756,0.3194444444444445,99.58333333333333,493825519,0.0,765.0,40.540424965474884,0.09722222222222222,0.0
50.0,31.25,1.6,18.75,660.6810000005756,0.3194444444444445,99.50462962962962,-543728825,0.0,765.0,72.06517846685541,0.17592592592592593,0.0
50.0,25.0,1.6,25.0,622.5650000005757,0.3194444444444445,99.60416666666667,1709119877,0.0,765.0,31.766957659018175,0.0763888888888889,0.0
50.0,14.285714285714285,1.6,35.714285714285715,614.4460000005756,0.3194444444444445,99.55092592592592,-835725870,0.0,765.0,52.18199430025528,0.12962962962962962,0.0
43.75,12.5,1.6,37.5,624.6850000005757,0.3194444444444445,99.5462962962963,893946227,6.25,765.0,51.83585360013479,0.13425925925925924,0.0
50.0,12.5,1.6,37.5,608.3660000005756,0.3194444444444445,99.62037037037037,-197213331,0.0,765.0,23.39229174021292,0.06018518518518519,0.0
50.0,12.5,1.6,37.5,611.4560000005756,0.3194444444444445,99.59722222222223,1659599480,0.0,765.0,32.757665302386854,0.08333333333333334,0.0
50.0,29.166666666666668,1.6,20.833333333333336,669.7150000005756,0.3194444444444445,99.4050925925926,1190505460,0.0,765.0,112.97193697370581,0.27546296296296297,0.0
50.0,0.0,1.6,50.0,605.9160000005757,0.3194444444444445,99.57870370370371,1100216484,0.0,765.0,39.863607253357216,0.10185185185185185,0.0
50.0,31.25,1.6,18.75,659.7050000005756,0.3194444444444445,99.5162037037037,-1794583744,0.0,765.0,67.89460591563441,0.16435185185185186,0.0
50.0,12.5,1.6,37.5,611.5290000005756,0.3194444444444445,99.59259259259258,139598968,0.0,765.0,35.22322854776694,0.08796296296296297,0.0
50.0,20.0,1.6,30.0,629.6440000005756,0.3194444444444445,99.56944444444444,1239574501,0.0,765.0,45.349189098163784,0.1111111111111111,0.0
50.0,12.5,1.6,37.5,658.3860000005756,0.3194444444444445,99.44444444444444,-1202371364,0.0,765.0,98.39873539466706,0.2361111111111111,0.0
50.0,12.5,1.6,37.5,646.0450000005756,0.3194444444444445,99.53703703703704,1926613046,0.0,765.0,59.731860796714486,0.14351851851851852,0.0
50.0,27.77777777777778,1.6,22.22222222222222,665.8700000005756,0.3194444444444445,99.48842592592592,-63636357,0.0,765.0,77.44053752905825,0.19212962962962965,0.0
50.0,12.5,1.6,37.5,611.1660000005757,0.3194444444444445,99.59259259259258,-585453731,0.0,765.0,35.22322854776694,0.08796296296296297,0.0
50.0,8.333333333333332,1.6,41.66666666666667,651.0890000005757,0.3194444444444445,99.51851851851852,-462337897,0.0,765.0,67.31091365208107,0.16203703703703703,0.0
50.0,22.22222222222222,1.6,27.77777777777778,634.7830000005756,0.3194444444444445,99.50925925925927,-2057840289,0.0,765.0,68.89635958946451,0.1712962962962963,0.0
41.66666666666667,16.666666666666664,1.6,33.33333333333333,622.3590000005756,0.3194444444444445,99.5949074074074,821724563,8.333333333333332,765.0,33.00124046413724,0.08564814814814815,0.0
50.0,12.5,1.6,37.5,645.6390000005756,0.3194444444444445,99.55787037037037,1004485605,0.0,765.0,50.56770993309405,0.12268518518518517,0.0
50.0,12.5,1.6,37.5,646.8590000005756,0.3194444444444445,99.52083333333334,146257049,0.0,765.0,65.67840434926026,0.15972222222222224,0.0
50.0,20.0,1.6,30.0,610.2300000005756,0.3194444444444445,99.55787037037037,-405834927,0.0,765.0,49.76563666805505,0.12268518518518517,0.0
50.0,21.428571428571427,1.6,28.57142857142857,647.1380000005756,0.3194444444444445,99.54861111111111,788032803,0.0,765.0,55.64156238155162,0.13194444444444445,0.0
50.0,16.666666666666664,1.6,33.33333333333333,616.5790000005755,0.3194444444444445,99.60416666666667,2147336041,0.0,765.0,30.46901317278905,0.0763888888888889,0.0
50.0,14.285714285714285,1.6,35.714285714285715,621.0050000005756,0.3194444444444445,99.52314814814814,1420246097,0.0,765.0,64.87932109968403,0.1574074074074074,0.0
