"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species"
"844",70.9,41.2,11.9,1.8,9,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes"
"845",74.45,41.1,8.7,1.3225,11,1,1,1,1,1,1,1,1,0,1,1,1,"Diospyros","siamang"
"846",74.8,42.3,9.2,2.0525,8,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)"
"847",75.2,41.5,10.1,1.55,12,0,0,0,0,0,0,0,0,0,1,0,0,"Palaquium","pseudorostratum"
"848",76.2,41.3,10.1,1.825,11,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"849",81,40.4,16.7,2.95,16,0,0,0,0,0,0,0,0,0,0,0,0,"Campnosperma","squamatum"
"850",81.3,40.2,16.9,2.225,16.5,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)"
"851",81.6,42.2,11.4,1.55,13.5,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes"
"852",80.2,42.35,9.3,1.125,12,0,0,0,0,0,0,0,0,0,0,0,0,"Gymnacranthera","farquhariania"
"853",84.8,49,9.7,2.175,10.5,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"854",83,42.7,27.6,4.925,21.3866612589015,0,0,0,0,0,0,0,0,0,0,0,0,"Campnosperma","coriaceum"
"855",87.55,46.35,11.9,1.275,14,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana"
"856",83.1,47,8.6,3.4,9.5,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","lappaceum"
"857",81.5,46,12.6,1.95,11.5,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1"
"858",80,46.1,7.6,1.425,7,0,0,0,0,0,0,0,0,0,0,0,0,"Gonystylus","bancanus"
"859",80,48.2,7.9,1.225,6.5,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)"
"860",83,48.4,21.7,2.35,23.5,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","ridleyii"
"861",81.3,48.8,19.4,3.4,19.7550214941408,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1"
"862",82.9,48.2,8.4,1.425,6,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes"
"863",86.1,44.15,35.6,3.875,29.2653128707298,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","parviflora (leptopoda)"
"864",89,42.4,12.7,2.575,13,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii"
"865",89,42.4,12.7,2.575,13,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii"
"866",80.8,51.1,12.4,1.55,14.5,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","ridleyii"
"867",80.3,53.9,12.1,2.3875,13.5,0,0,0,0,0,0,0,0,0,0,0,0,"Licania","splendens"
"868",81,59.5,38.2,5.2375,31.5,0,0,0,0,0,0,0,0,0,0,0,0,"Koompassia","malaccensis"
"869",82.2,58.9,9.3,1.675,11,1,0,0,0,0,0,0,0,0,1,1,0,"Garcinia","bancana"
"870",81.5,60,11.5,2.125,13,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"871",84.6,56.7,21.1,3.1375,16.8,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
"872",84.6,56.7,21.1,3.1375,16.8,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
"873",87.3,54.45,10.6,1.925,9.5,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"874",87.25,53.6,17.2,2.2375,15.5,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes"
"875",85.8,53.7,12.1,1.9375,11,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"876",89.6,40.6,17.5,2.375,18.5,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana"
"877",92.9,42,11.8,2.075,11.5,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","cf. evena"
"878",93.4,41.9,9.7,1.375,12,0,0,0,0,0,0,0,0,0,0,0,0,"Campnosperma","coriaceum"
"879",96.8,43.3,14.1,1.675,13.5,0,0,0,0,0,0,0,0,0,0,0,0,"Campnosperma","coriaceum"
"880",100,46.1,23.8,3.625,14,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii"
"881",100,46.1,23.8,3.625,14,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii"
"882",99.6,47.1,13.7,3.375,12.5,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"883",99.6,47.1,13.7,3.375,12.5,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"884",96.1,47.4,14.5,2.875,11,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"885",96.1,47.4,14.5,2.875,11,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"886",93,47.5,14.4,1.85,9,0,0,0,0,0,0,0,0,0,0,0,0,"Horsfieldia","crassifolia"
"887",92.2,46.5,8.9,1.325,10,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"888",94.2,47.1,9.3,2.35,10.5,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"889",99.35,50.9,7.5,1.9,7.5,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
"890",99.35,50.9,7.5,1.9,7.5,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
