"","TreeID","x","y","DBH","crown","height","fruiting"
"1181",66750,32,92,18.6,0.90371146821266,3.567852,0
"1182",65986,33,3,40,1.49799665868193,7.6728,0
"1183",65917,33,13,35,1.37162742381731,6.7137,0
"1184",65914,33,14,65,2.06383068746799,12.4683,0
"1185",65933,33,17,21.8,1.00353502844959,4.181676,0
"1186",65932,33,18,20,0.948049574236053,3.8364,0
"1187",66235,33,22,118,3.05909789518429,22.63476,0
"1188",66231,33,23,17.8,0.877866450572915,3.414396,0
"1189",66228,33,24,24.3,1.07808099706337,4.661226,0
"1190",66251,33,27,149,3.56824106958848,28.58118,0
"1191",66249,33,28,16,0.818220655738572,3.06912,0
"1192",66179,33,31,44,1.59525464135101,8.44008,0
"1193",66176,33,32,20.2,0.954296111546136,3.874764,0
"1194",66175,33,33,12.9,0.709807296164196,2.474478,0
"1195",66172,33,34,372,6.52693955389696,71.35704,0
"1196",66192,33,37,15.3,0.794415290640825,2.934846,0
"1197",66188,33,38,18.4,0.897286251837965,3.529488,0
"1198",66450,33,41,30,1.23894286372721,5.7546,0
"1199",66442,33,43,21.5,0.994398897043716,4.12413,0
"1200",66466,33,46,41,1.52260971268543,7.86462,0
"1201",66407,33,50,21.8,1.00353502844959,4.181676,0
"1202",66406,33,52,28.1,1.18658108622107,5.390142,0
"1203",66415,33,56,118,3.05909789518429,22.63476,0
"1204",66592,33,71,33,1.31938168371389,6.33006,0
"1205",66590,33,72,19.3,0.926017244590986,3.702126,0
"1206",66603,33,76,56,1.87048981690802,10.74192,0
"1207",66598,33,79,23.6,1.05748245924543,4.526952,0
"1208",66805,33,81,135,3.34327066421247,25.8957,0
"1209",66803,33,82,26.7,1.14722521247823,5.121594,0
"1210",66817,33,87,96,2.66962502166855,18.41472,0
"1211",66755,33,91,59,1.93603666621506,11.31738,0
"1212",66752,33,94,17.5,0.868073228083615,3.35685,0
"1213",66766,33,96,51,1.75852103094888,9.78282,0
"1214",66758,33,99,35,1.37162742381731,6.7137,0
"1215",65987,34,2,29.5,1.22527558821498,5.65869,0
"1216",65985,34,4,274,5.3341671665216,52.55868,0
"1217",66001,34,8,352,6.29316919718076,67.52064,0
"1218",65921,34,10,19.9,0.944918345405531,3.817218,0
"1219",65920,34,12,24.5,1.08392907557588,4.69959,0
"1220",65916,34,13,28,1.18379240985279,5.37096,0
"1221",65915,34,14,12.9,0.709807296164196,2.474478,0
"1222",66233,34,22,19,0.916491891586387,3.64458,0
"1223",66230,34,23,37,1.42286726604071,7.09734,0
"1224",66229,34,24,22.3,1.01866752235658,4.277586,0
"1225",66255,34,25,42,1.54701947891638,8.05644,0
"1226",66250,34,27,24.4,1.08100707356644,4.680408,0
"1227",66247,34,28,17.8,0.877866450572915,3.414396,0
"1228",66246,34,29,54,1.82612764810198,10.35828,0
"1229",66178,34,30,36,1.39736834519993,6.90552,0
"1230",66177,34,32,23.7,1.06043769916082,4.546134,0
"1231",66174,34,33,209,4.46115999667243,40.09038,0
"1232",66196,34,35,50,1.7356871700929,9.591,0
"1233",66195,34,36,75,2.26825399376642,14.3865,0
"1234",66190,34,38,37,1.42286726604071,7.09734,0
"1235",66448,34,41,22.2,1.01565032896903,4.258404,0
"1236",66445,34,42,25.5,1.11292979527948,4.89141,0
"1237",66443,34,43,77,2.30799641022157,14.77014,0
"1238",66462,34,46,21,0.979075053219439,4.02822,0
"1239",66461,34,49,117,3.04196294254326,22.44294,0
"1240",66414,34,58,232,4.77939935260911,44.50224,0
"1241",66630,34,62,19,0.916491891586387,3.64458,0
"1242",66587,34,73,51,1.75852103094888,9.78282,0
"1243",66588,34,74,21.1,0.982149660547338,4.047402,0
"1244",66599,34,79,56,1.87048981690802,10.74192,0
"1245",66804,34,81,15.5,0.801253927253033,2.97321,0
"1246",66801,34,84,30,1.23894286372721,5.7546,0
"1247",66816,34,87,16.9,0.848313689551322,3.241758,0
"1248",66815,34,89,49,1.71269749766966,9.39918,0
"1249",66753,34,92,15.7,0.808062626848948,3.011574,0
"1250",66764,34,96,57,1.89246848124135,10.93374,0
"1251",66763,34,97,157,3.69355883201826,30.11574,0
"1252",66762,34,98,125,3.17769242695212,23.9775,0
"1253",66760,34,99,12.2,0.684145915747617,2.340204,0
"1254",66011,35,0,45,1.61909193495234,8.6319,0
"1255",66004,35,6,46,1.64274978602345,8.82372,0
"1256",66007,35,8,70,2.16728465860083,13.4274,0
"1257",65955,35,10,15,0.784100049657571,2.8773,0
"1258",65958,35,13,72,2.20795744119622,13.81104,0
"1259",65938,35,15,149,3.56824106958848,28.58118,0
"1260",65941,35,19,38,1.44813291268211,7.28916,0
"1261",66269,35,22,14.3,0.759754069717109,2.743026,0
"1262",66271,35,23,14.6,0.770236571050737,2.800572,0
"1263",66257,35,25,86,2.48267704194748,16.49652,0
"1264",66212,35,30,19,0.916491891586387,3.64458,0
"1265",66213,35,33,62,2.0004595096347,11.89284,0
"1266",66199,35,36,46,1.64274978602345,8.82372,0
"1267",66200,35,37,21.1,0.982149660547338,4.047402,0
"1268",66201,35,39,92,2.5956803920265,17.64744,0
"1269",66498,35,40,61,1.97910548072432,11.70102,0
"1270",66488,35,43,23,1.03966068695123,4.41186,0
"1271",66489,35,44,14,0.749196524331569,2.68548,0
"1272",66470,35,45,64,2.04281968060154,12.27648,0
"1273",66472,35,47,14.3,0.759754069717109,2.743026,0
"1274",66423,35,50,18.7,0.906915262470515,3.587034,0
"1275",66427,35,52,18,0.884364098571077,3.45276,0
"1276",66428,35,53,40,1.49799665868193,7.6728,0
"1277",66650,35,64,26,1.12728482313124,4.98732,0
"1278",66638,35,66,52,1.78120316102056,9.97464,0
"1279",66618,35,70,108,2.88543256547294,20.71656,0
"1280",66607,35,77,64,2.04281968060154,12.27648,0
"1281",66832,35,81,31,1.26604740764534,5.94642,0
"1282",66819,35,86,20,0.948049574236053,3.8364,0
"1283",66821,35,89,80,2.36695849078406,15.3456,0
"1284",66784,35,90,23.7,1.06043769916082,4.546134,0
"1285",66772,35,99,40,1.49799665868193,7.6728,0
"1286",66012,36,3,11.8,0.669257697898905,2.263476,0
"1287",66013,36,4,22.3,1.01866752235658,4.277586,0
"1288",66005,36,7,71,2.1876697444571,13.61922,0
"1289",65953,36,10,96,2.66962502166855,18.41472,0
"1290",65960,36,13,42,1.54701947891638,8.05644,0
"1291",65937,36,15,48,1.68954773730251,9.20736,0
"1292",65936,36,16,27.2,1.16135963424853,5.217504,0
"1293",65939,36,17,119,3.07618354629916,22.82658,0
"1294",66268,36,20,70,2.16728465860083,13.4274,0
"1295",66267,36,21,24.2,1.07515082358244,4.642044,0
"1296",66272,36,22,64,2.04281968060154,12.27648,0
"1297",66265,36,27,217,4.57314187275181,41.62494,0
"1298",66258,36,28,44,1.59525464135101,8.44008,0
"1299",44599,36,32,60,1.95763209076563,11.5092,0
"1300",66214,36,33,57,1.89246848124135,10.93374,0
"1301",66210,36,34,138,3.39212187380527,26.47116,0
"1302",66198,36,35,35,1.37162742381731,6.7137,0
"1303",66205,36,38,17.5,0.868073228083615,3.35685,0
"1304",66203,36,39,74,2.24824784294051,14.19468,0
"1305",66485,36,40,13,0.713434099080492,2.49366,0
"1306",66487,36,43,14.5,0.766750612991739,2.78139,0
"1307",66491,36,44,12,0.676722899551372,2.30184,0
"1308",66471,36,45,13.9,0.7456602953512,2.666298,0
"1309",66474,36,49,23.8,1.06338870251643,4.565316,0
"1310",66426,36,51,19.8,0.941781762137601,3.798036,0
"1311",66429,36,53,17,0.851623306820741,3.26094,0
"1312",66417,36,56,18.7,0.906915262470515,3.587034,0
"1313",66651,36,64,49,1.71269749766966,9.39918,0
"1314",66637,36,66,35,1.37162742381731,6.7137,0
"1315",66617,36,71,40,1.49799665868193,7.6728,0
"1316",66605,36,77,87,2.50169267601142,16.68834,0
"1317",66608,36,78,23.5,1.05452295869773,4.50777,0
"1318",66829,36,80,19.3,0.926017244590986,3.702126,0
"1319",66830,36,81,71,2.1876697444571,13.61922,0
"1320",66833,36,84,13,0.713434099080492,2.49366,0
"1321",66818,36,85,81,2.38644463259637,15.53742,0
"1322",66785,36,92,112,2.95552845755419,21.48384,0
"1323",66768,36,96,22.1,1.01262851109601,4.239222,0
"1324",66770,36,97,11.3,0.650403729781884,2.167566,0
"1325",66773,36,99,12.8,0.706170921511923,2.455296,0
"1326",66020,37,2,113,2.97291863364764,21.67566,0
"1327",66014,37,3,18.7,0.906915262470515,3.587034,0
"1328",66015,37,4,37,1.42286726604071,7.09734,0
"1329",66008,37,9,26.1,1.13014452447877,5.006502,0
"1330",65971,37,10,77,2.30799641022157,14.77014,0
"1331",65956,37,12,17,0.851623306820741,3.26094,0
"1332",65961,37,13,31,1.26604740764534,5.94642,0
"1333",66264,37,27,32,1.29285624050683,6.13824,0
"1334",66221,37,30,41,1.52260971268543,7.86462,0
"1335",66499,37,41,19,0.916491891586387,3.64458,0
"1336",66502,37,42,20,0.948049574236053,3.8364,0
"1337",66483,37,47,50,1.7356871700929,9.591,0
"1338",66477,37,48,38,1.44813291268211,7.28916,0
"1339",66476,37,49,23.4,1.05155917320531,4.488588,1
"1340",66430,37,54,50,1.7356871700929,9.591,0
"1341",66422,37,55,197,4.29041161472246,37.78854,0
"1342",66418,37,57,107,2.86777149508146,20.52474,0
"1343",66419,37,59,26,1.12728482313124,4.98732,0
"1344",66648,37,61,14.6,0.770236571050737,2.800572,0
"1345",66652,37,64,21.8,1.00353502844959,4.181676,0
"1346",66636,37,66,27.1,1.15853986510205,5.198322,0
"1347",66616,37,75,29,1.21152932032008,5.56278,0
"1348",66786,37,92,532,8.26519163906108,102.04824,0
"1349",66789,37,93,20.8,0.972910860626496,3.989856,0
"1350",66767,37,97,11.8,0.669257697898905,2.263476,0
"1351",66771,37,98,23,1.03966068695123,4.41186,0
"1352",66026,38,0,12.8,0.706170921511923,2.455296,0
"1353",66027,38,1,11.2,0.646599173792788,2.148384,0
"1354",66021,38,2,102,2.77860852446038,19.56564,0
"1355",66018,38,3,11.8,0.669257697898905,2.263476,0
"1356",66009,38,8,28.2,1.18936639042236,5.409324,0
"1357",65967,38,13,14.3,0.759754069717109,2.743026,0
"1358",65964,38,14,16.4,0.831664550335898,3.145848,0
"1359",65948,38,15,21.7,1.00049442900832,4.162494,0
"1360",65947,38,17,22.5,1.02468814645501,4.31595,0
"1361",65946,38,18,37,1.42286726604071,7.09734,0
"1362",65943,38,19,39,1.47317347632572,7.48098,0
"1363",66279,38,21,54,1.82612764810198,10.35828,0
"1364",66276,38,22,26.4,1.13870136726526,5.064048,0
"1365",66274,38,23,40,1.49799665868193,7.6728,0
"1366",66260,38,28,25.6,1.1158084024621,4.910592,0
"1367",66261,38,29,21.3,0.988284055341245,4.085766,0
"1368",66220,38,30,81,2.38644463259637,15.53742,0
"1369",66219,38,32,43,1.57123241827183,8.24826,0
"1370",66217,38,34,50,1.7356871700929,9.591,0
"1371",66207,38,36,16.2,0.824956711226474,3.107484,0
"1372",66206,38,39,21.6,0.997449061740257,4.143312,0
"1373",66497,38,42,15,0.784100049657571,2.8773,0
"1374",66494,38,43,19.2,0.922847757707052,3.682944,0
"1375",66481,38,45,20,0.948049574236053,3.8364,0
"1376",66478,38,49,15.2,0.790984582338079,2.915664,0
"1377",66626,38,72,144,3.48875518676234,27.62208,0
"1378",66615,38,75,32,1.29285624050683,6.13824,0
"1379",66612,38,78,19,0.916491891586387,3.64458,0
"1380",66609,38,79,26.4,1.13870136726526,5.064048,0
"1381",66828,38,85,30,1.23894286372721,5.7546,0
"1382",66826,38,86,27.7,1.17540598558588,5.313414,0
"1383",66825,38,88,19.6,0.935492386784173,3.759672,0
"1384",66794,38,90,97,2.68794634270447,18.60654,0
"1385",66790,38,94,117,3.04196294254326,22.44294,0
"1386",66781,38,96,53,1.80373745802223,10.16646,0
"1387",66783,38,97,96,2.66962502166855,18.41472,1
"1388",66774,38,98,17.3,0.861512689010262,3.318486,0
"1389",66024,39,0,23.4,1.05155917320531,4.488588,0
"1390",66022,39,2,109,2.90303812269795,20.90838,0
"1391",66016,39,4,25.5,1.11292979527948,4.89141,0
"1392",66010,39,8,19.5,0.932339520860697,3.74049,0
"1393",65969,39,10,38,1.44813291268211,7.28916,0
"1394",65968,39,12,43,1.57123241827183,8.24826,0
"1395",65966,39,13,13.5,0.731427925764037,2.58957,0
"1396",65945,39,19,244,4.94115566217357,46.80408,0
"1397",66277,39,22,48,1.68954773730251,9.20736,0
"1398",66263,39,25,58,1.91431642717325,11.12556,0
"1399",66218,39,33,49,1.71269749766966,9.39918,0
"1400",66208,39,36,89,2.53950255885733,17.07198,0
"1401",66495,39,43,47,1.6662334033592,9.01554,0
"1402",66492,39,44,24.9,1.09557678091235,4.776318,0
"1403",66480,39,48,27.4,1.16698862226477,5.255868,0
"1404",66431,39,52,94,2.63278644772097,18.03108,0
"1405",66653,39,64,24.8,1.09267085628347,4.757136,0
"1406",66646,39,66,19.4,0.929181152808984,3.721308,0
"1407",66645,39,67,85,2.46358607900141,16.3047,1
"1408",66642,39,68,107,2.86777149508146,20.52474,0
"1409",66640,39,69,32,1.29285624050683,6.13824,0
"1410",66628,39,70,15.3,0.794415290640825,2.934846,0
"1411",66623,39,72,160,3.7399899823704,30.6912,0
"1412",66621,39,74,17.5,0.868073228083615,3.35685,0
"1413",66613,39,76,16.2,0.824956711226474,3.107484,0
"1414",66610,39,79,115,3.00754285931868,22.0593,0
"1415",66835,39,81,17,0.851623306820741,3.26094,0
"1416",66834,39,82,12.2,0.684145915747617,2.340204,0
"1417",66827,39,85,129,3.24444531979122,24.74478,0
