"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species","status"
"258",2,41,13,3.75,13,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"259",2,43,6.7,1.2,6,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca","untouched"
"260",1,43,6.8,1.075,5,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","umbellata","untouched"
"261",0,46,10.8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"262",0,52,12,2.2,11,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"263",1,53,13,2.775,15,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","cf. elliptica","untouched"
"264",1,56,7.5,1.55,8.5,0,0,0,0,0,0,0,0,0,1,1,0,"Maasia (Polyalthia)","hypoleuca","untouched"
"265",1,59,10.3,2.15,10.5,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"266",5,58,8.7,1.075,5,0,0,0,0,0,0,0,0,0,0,0,0,"Myristica","lowiana","untouched"
"267",5,59,10.6,2.9,11.5,0,0,0,0,0,0,0,0,0,1,1,0,"Maasia (Polyalthia)","hypoleuca","untouched"
"268",6,57,6.1,1.325,7,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)","untouched"
"269",7,56,7.6,1.075,9,0,0,0,0,0,0,0,0,0,0,0,0,"Dipterocarpus","borneensis","untouched"
"270",9,58,6,0.7,7.5,1,0,0,0,0,0,0,0,0,1,1,0,"Garcinia","bancana","untouched"
"271",9,57,14.1,2.4,17.5,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","hosei","untouched"
"272",7,54,6.9,2.35,7.5,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
