"","TreeID","x","y","DBH","crown","height","fruiting","species"
"906",65878,25,15,21.5,1.98879779408743,3.43378774660987,0,"Mallotus miquelianus"
"907",65884,25,18,37,2.84573453208141,4.99401794754835,0,"Streblus glaber"
"908",66075,25,22,29.2,2.43407484415229,4.24135941816195,0,"Diospyros toposia"
"909",66076,25,24,31,2.53209481529068,4.42008354300624,0,"Mallotus miquelianus"
"910",66057,25,25,21.5,1.98879779408743,3.43378774660987,0,"Mallotus miquelianus"
"911",66058,25,26,145,7.0094529915698,12.8154786287227,0,"Polyalthia obliqua"
"912",66060,25,29,97,5.37589268540894,9.71098773990891,0,"Paranephelium xestophyllum"
"913",66146,25,30,22.5,2.04937629291002,3.54320962220042,0,"Mallotus miquelianus"
"914",66147,25,31,33,2.63876336742777,4.61493435396522,0,"Polyalthia microtus"
"915",66152,25,33,37,2.84573453208141,4.99401794754835,0,"Chisocheton unknown<ca>mixed"
"916",66153,25,34,12,1.35344579910274,2.296285952106,0,"Mallotus miquelianus"
"917",66128,25,36,16.4,1.6633291006718,2.8486111137301,0,"Mallotus miquelianus"
"918",66130,25,38,23.8,2.12677740503286,3.68323144387363,0,"Popowia odoardoi"
"919",66333,25,44,139,6.81665028939546,12.4471843388236,0,"Parashorea tomentella"
"920",66313,25,46,23.5,2.10904591739545,3.65113367968276,0,"Monoon hookerianum"
"921",66316,25,47,34,2.69127037813634,4.71098110052402,0,"Neesia synandra"
"922",66386,25,51,23,2.07932137390245,3.59735349537344,0,"Aglaia luzoniensis"
"923",66388,25,53,50,3.4713743401858,6.14724060916549,0,"Beilschmiedia cuadrae"
"924",66375,25,58,112,5.91105691510839,10.7238651655159,0,"Paranephelium xestophyllum"
"925",66535,25,61,30,2.47788572745443,4.32120206482135,0,"Monoon erianthoides"
"926",66528,25,67,26,2.25456964626247,3.91491664169315,0,"Chisocheton sarawakensis"
"927",66572,25,71,17.7,1.74921664718748,3.0025653119518,0,"Pyrenaria acuminata"
"928",66691,25,81,18.5,1.80100362433549,3.09556125160459,0,"Popowia pisocarpa"
"929",66683,25,86,14.6,1.54047314210147,2.62902296445205,0,"Monoon grandiflorum"
"930",66684,25,88,14.2,1.51248666152669,2.57911000863342,0,"Goniothalamus woodii"
"931",66685,25,89,25.5,2.22585959055896,3.86281254960733,0,"Unidentified griffithianum"
"932",66741,25,91,28.4,2.38985389249682,4.16083566918291,0,"Unidentified griffithianum"
"933",66742,25,93,19.1,1.8393453063758,3.16449149352507,0,"Memecylon costatum"
"934",66728,25,97,21,1.95815010643888,3.37848676971157,0,"Goniothalamus woodii"
"935",66729,25,98,78,4.6554716233548,8.35480244265696,0,"Baccaurea tetrandra"
"936",65821,26,0,15.1,1.57509238285705,2.69082220461615,0,"Unidentified unknown<ca>mixed"
"937",65822,26,1,23.1,2.08528372053055,3.60813829672265,0,"Aglaia oligophylla"
"938",65826,26,2,11.2,1.29319834758558,2.18953224219536,0,"Unidentified unknown<ca>mixed"
"939",65827,26,3,17.4,1.7295923268552,2.96735762495946,0,"Saurauia sp"
"940",65807,26,5,98,5.41240711153624,9.7799560114666,0,"Lansium domesticum"
"941",65810,26,6,11,1.27791044027133,2.16247881702326,0,"Mallotus miquelianus"
"942",65897,26,13,118,6.11819579036859,11.1170483432545,0,"Diospyros curranii"
"943",65879,26,15,38,2.89626582536423,5.08676402116854,0,"Unidentified denticulatum"
"944",65880,26,16,23,2.07932137390245,3.59735349537344,0,"Litsea accedens"
"945",66077,26,24,37,2.84573453208141,4.99401794754835,0,"Aglaia crassinervia"
"946",66059,26,26,16,1.63644131147714,2.80048787841643,0,"Mallotus miquelianus"
"947",66062,26,29,375,13.1232645183078,24.6872368624528,0,"Paranephelium xestophyllum"
"948",66145,26,30,72,4.41591488239245,7.9058820686228,0,"Paranephelium xestophyllum"
"949",66154,26,34,57,3.7849369624827,6.72890752095051,0,"Alangium javanicum"
"950",66126,26,35,40,2.99599331736387,5.27002048312909,0,"Spathiostemon javensis"
"951",66129,26,36,13.7,1.47712354371992,2.51610117483792,0,"Aglaia luzoniensis"
"952",66131,26,39,37,2.84573453208141,4.99401794754835,0,"Diospyros pilosanthera"
"953",66331,26,42,60,3.91526418153127,6.97132407104356,0,"Baccaurea tetrandra"
"954",66332,26,43,15.7,1.6161252536979,2.76415039766528,0,"Mallotus miquelianus"
"955",66337,26,44,35,2.74325484763462,4.80615596233589,0,"Xanthophyllum adenotus"
"956",66312,26,45,12.5,1.39040670888019,2.36188538140806,0,"Mallotus miquelianus"
"957",66315,26,47,81,4.77288926519274,8.57522595097558,0,"Monoon erianthoides"
"958",66317,26,48,28.7,2.40648576964264,4.19111345908988,0,"Litsea accedens"
"959",66318,26,49,13.6,1.46999861502099,2.5034144572495,0,"Popowia pisocarpa"
"960",66385,26,50,137,6.75175726436448,12.3233306282368,0,"Unidentified unknown"
"961",66387,26,53,14.7,1.54742884099247,2.6414346475575,0,"Mallotus miquelianus"
"962",66389,26,54,250,10.0420331747503,18.6624868692284,0,"Diospyros macrophylla"
"963",66373,26,56,11.5,1.31595737000018,2.22983341380844,0,"Xanthophyllum affine"
"964",66374,26,57,25.4,2.22009469476505,3.85235386902356,0,"Ryparosa acuminata"
"965",66376,26,58,40,2.99599331736387,5.27002048312909,0,"Xanthophyllum adenotus"
"966",66560,26,75,56,3.74097963381603,6.64722910939878,0,"Unidentified unknown"
"967",66561,26,77,31,2.53209481529068,4.42008354300624,0,"Chisocheton unknown<ca>mixed"
"968",66681,26,86,80,4.73391698156813,8.50203718729578,0,"Monoon grandiflorum"
"969",66682,26,87,29,2.42305864064017,4.22129329303229,0,"Marsypopetalum pallidum"
"970",66686,26,89,13.5,1.46285585152807,2.49069878812273,0,"Goniothalamus woodii"
"971",66739,26,91,65,4.12766137493598,7.3671773588009,0,"Monoon hookerianum"
"972",66727,26,95,44,3.19050928270202,5.62824839219786,0,"Orophea myriantha"
