"","x","y","dbh","crown","height","fruiting"
"2924",83,47,23.8,2.12677740503286,3.68323144387363,0
"2925",83,48,33,2.63876336742777,4.61493435396522,0
"2926",83,50,14.8,1.55436847031843,2.65382018371192,0
"2927",83,52,33,2.63876336742777,4.61493435396522,0
"2928",83,53,34,2.69127037813634,4.71098110052402,0
"2929",83,57,35,2.74325484763462,4.80615596233589,0
"2930",83,58,19.7,1.87727957632744,3.23275360910347,0
"2931",83,62,55,3.69675459284452,6.56509726779017,0
"2932",83,66,12.6,1.3977381075815,2.37490687829627,0
"2933",83,67,172,7.8456697086131,14.4180171425474,0
"2934",83,68,266,10.4617208175696,19.4786672394579,0
"2935",83,72,18.2,1.78167449123576,3.06083674868159,0
"2936",83,78,13.4,1.45569507598799,2.47795388619253,0
"2937",83,83,15.2,1.58196916467616,2.70310542952369,0
"2938",83,87,50,3.4713743401858,6.14724060916549,0
"2939",83,89,21.1,1.96429932109468,3.3895793355403,0
"2940",83,90,237,9.69427096217567,17.9873534225934,0
"2941",83,95,87,5.00338535202283,9.00863919813746,0
"2942",83,97,18.6,1.80742293642532,3.1070972078502,0
"2943",83,99,22.9,2.07335020682027,3.58655414813423,0
"2944",84,0,20.7,1.9396424221303,3.34511033850422,0
"2945",84,4,16.1,1.64318447962108,2.81255331451326,0
"2946",84,5,17.5,1.73614645616723,2.97911427680774,0
"2947",84,6,18.1,1.77520742397473,3.04922257094621,0
"2948",84,11,41,3.04521942537085,5.36057985950493,0
"2949",84,14,206,8.83758515499271,16.3289888031025,0
"2950",84,15,11,1.27791044027133,2.16247881702326,0
"2951",84,22,116,6.04955624578227,10.9866912926385,0
"2952",84,27,17.2,1.71644551026872,2.94378126868347,0
"2953",84,29,16.6,1.6766892664641,2.87253606448749,0
"2954",84,31,23.5,2.10904591739545,3.65113367968276,0
"2955",84,36,31,2.53209481529068,4.42008354300624,0
"2956",84,39,13.5,1.46285585152807,2.49069878812273,0
"2957",84,42,23.5,2.10904591739545,3.65113367968276,0
"2958",84,44,24.8,2.18534171256694,3.7893312283976,0
"2959",84,51,27.1,2.3170797302041,4.02846616056025,0
"2960",84,52,160,7.4799799647408,13.7161964674644,0
"2961",84,53,25.1,2.20275351141558,3.82090092779485,0
"2962",84,54,17.8,1.75573290114583,3.01426000271247,0
"2963",84,58,89,5.07900511771466,9.15103073030655,0
"2964",84,62,302,11.3759016415317,21.2615880755143,0
"2965",84,64,43,3.14246483654365,5.53967317744154,0
"2966",84,65,36,2.79473669039987,4.90049143764063,0
"2967",84,67,44,3.19050928270202,5.62824839219786,0
"2968",84,70,14.5,1.53350122598348,2.61658489953646,0
"2969",84,72,58,3.8286328543465,6.81014289616826,0
"2970",84,73,50,3.4713743401858,6.14724060916549,0
"2971",84,76,26.6,2.28877513251529,3.97703340143924,0
"2972",84,78,33,2.63876336742777,4.61493435396522,0
"2973",84,81,15.2,1.58196916467616,2.70310542952369,0
"2974",84,83,19.4,1.85836230561797,3.19870436390263,0
"2975",84,89,24.8,2.18534171256694,3.7893312283976,0
"2976",84,93,18.4,1.79457250367593,3.0840059485239,0
"2977",84,94,63,4.04339350079855,7.21001035257364,0
"2978",84,98,41,3.04521942537085,5.36057985950493,0
"2979",85,0,24.5,2.16785815115177,3.75764291702788,0
"2980",85,1,29.6,2.45603061081888,4.28136436329714,0
"2981",85,3,68,4.25242956024377,7.60014816517776,0
"2982",85,5,46,3.2854995720469,5.80355110410379,0
"2983",85,9,18.2,1.78167449123576,3.06083674868159,0
"2984",85,10,41,3.04521942537085,5.36057985950493,0
"2985",85,17,78,4.6554716233548,8.35480244265696,0
"2986",85,26,38,2.89626582536423,5.08676402116854,0
"2987",85,31,79,4.69477870820206,8.42856425839469,0
"2988",85,32,48,3.37909547460502,5.97650604307774,0
"2989",85,37,154,7.29365004682965,13.3591924592438,0
"2990",85,39,25.6,2.2316168049242,3.87325852340434,0
"2991",85,40,27.4,2.33397724452954,4.05918455610423,0
"2992",85,41,19.4,1.85836230561797,3.19870436390263,0
"2993",85,43,48,3.37909547460502,5.97650604307774,0
"2994",85,46,59,3.87207333243012,6.89094521586326,0
"2995",85,47,30,2.47788572745443,4.32120206482135,0
"2996",85,48,139,6.81665028939546,12.4471843388236,0
"2997",85,51,32,2.58571248101366,4.51798093785213,0
"2998",85,52,63,4.04339350079855,7.21001035257364,0
"2999",85,55,22.4,2.04336023805212,3.53233627943607,0
"3000",85,74,24.6,2.17369405072273,3.76821898316375,0
"3001",85,76,21.4,1.98268780998915,3.42275972273333,0
"3002",85,78,32,2.58571248101366,4.51798093785213,0
"3003",85,79,204,8.78086209527777,16.2194351161255,0
"3004",85,83,48,3.37909547460502,5.97650604307774,0
"3005",85,87,33,2.63876336742777,4.61493435396522,0
"3006",85,89,59,3.87207333243012,6.89094521586326,0
"3007",85,97,15.3,1.58883058128165,2.71536362843735,0
"3008",85,98,87,5.00338535202283,9.00863919813746,0
"3009",86,0,16,1.63644131147714,2.80048787841643,0
"3010",86,3,24.5,2.16785815115177,3.75764291702788,0
"3011",86,5,25.4,2.22009469476505,3.85235386902356,0
"3012",86,6,63,4.04339350079855,7.21001035257364,0
"3013",86,9,22.3,2.03733504471317,3.52144787826675,0
"3014",86,19,12.2,1.36829183149523,2.32262551348167,0
"3015",86,20,54,3.65225529620395,6.48250116456523,0
"3016",86,21,32,2.58571248101366,4.51798093785213,0
"3017",86,27,13.5,1.46285585152807,2.49069878812273,0
"3018",86,28,13.6,1.46999861502099,2.5034144572495,0
"3019",86,30,166,7.6639486135477,14.0690732225797,0
"3020",86,32,12.7,1.40504974956865,2.38789637715913,0
"3021",86,35,135,6.68654132842494,12.1989151184917,0
"3022",86,39,212,9.00664228418915,16.6556909274682,0
"3023",86,40,118,6.11819579036859,11.1170483432545,0
"3024",86,44,17.4,1.7295923268552,2.96735762495946,0
"3025",86,47,38,2.89626582536423,5.08676402116854,0
"3026",86,48,16,1.63644131147714,2.80048787841643,0
"3027",86,50,537,16.6327582242254,31.6281045924287,1
"3028",86,53,11.3,1.30080745956377,2.20300272924173,0
"3029",86,55,103,5.59311584235294,10.1215865757118,0
"3030",86,58,33,2.63876336742777,4.61493435396522,0
"3031",86,61,36,2.79473669039987,4.90049143764063,0
"3032",86,64,105,5.66456002810333,10.2567914591785,0
"3033",86,69,19.6,1.87098477356835,3.22142183787242,0
"3034",86,70,35,2.74325484763462,4.80615596233589,0
"3035",86,71,229,9.47703892473104,17.5661825627419,0
"3036",86,72,25.8,2.24310834972703,3.89411260999031,0
"3037",86,78,17,1.70324661364148,2.92011977229333,0
"3038",86,80,47,3.3324668067184,5.89031378906892,0
"3039",86,83,14,1.49839304866314,2.55399036064255,0
"3040",86,86,34,2.69127037813634,4.71098110052402,0
"3041",86,89,104,5.62889632811149,10.1892897728029,0
"3042",86,91,13.5,1.46285585152807,2.49069878812273,0
"3043",86,92,20.5,1.92725328387477,3.32277606398306,0
"3044",86,93,13.7,1.47712354371992,2.51610117483792,0
"3045",86,94,14.8,1.55436847031843,2.65382018371192,0
"3046",86,96,23.8,2.12677740503286,3.68323144387363,0
"3047",87,0,18.6,1.80742293642532,3.1070972078502,0
"3048",87,2,24.5,2.16785815115177,3.75764291702788,0
"3049",87,3,28.5,2.39540445901216,4.17093923294985,0
"3050",87,5,35,2.74325484763462,4.80615596233589,0
"3051",87,6,15,1.56820009931514,2.67851373637564,0
"3052",87,8,28.1,2.37316217244213,4.13045856552183,0
"3053",87,18,27.1,2.3170797302041,4.02846616056025,0
"3054",87,23,64,4.08563936120308,7.28878418368215,0
"3055",87,27,13.5,1.46285585152807,2.49069878812273,0
"3056",87,28,42,3.09403895783276,5.45045702285764,0
"3057",87,29,14.8,1.55436847031843,2.65382018371192,0
"3058",87,33,20.7,1.9396424221303,3.34511033850422,0
